date.local,location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
2023-11-19 21:00:00,London N. Kensington,pm25,8.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 21:00:00+00:00,51.52105,-0.21349199999999996
2023-11-19 21:00:00,Southwark A2 Old Kent Road,pm25,6.7,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 21:00:00+00:00,51.480499,-0.05955
2023-11-19 21:00:00,Thurrock,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 21:00:00+00:00,51.47707,0.317969
2023-11-19 21:00:00,Southend-on-Sea,pm25,8.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 21:00:00+00:00,51.544206,0.678408
2023-11-19 20:00:00,Southend-on-Sea,pm25,8.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 20:00:00+00:00,51.544206,0.678408
2023-11-19 20:00:00,Camden Kerbside,pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 20:00:00+00:00,51.54421,-0.175269
2023-11-19 20:00:00,London Harlington,pm25,7.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 20:00:00+00:00,51.48879,-0.441614
2023-11-19 20:00:00,London Hillingdon,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 20:00:00+00:00,51.49633,-0.460861
2023-11-19 20:00:00,London Westminster,pm25,7.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 20:00:00+00:00,51.49467,-0.131931
2023-11-19 20:00:00,London Bloomsbury,pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 20:00:00+00:00,51.52229,-0.125889
2023-11-19 20:00:00,London N. Kensington,pm25,8.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 20:00:00+00:00,51.52105,-0.21349199999999996
2023-11-19 20:00:00,London Marylebone Road,pm25,11.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 20:00:00+00:00,51.52253,-0.154611
2023-11-19 20:00:00,Southwark A2 Old Kent Road,pm25,6.8,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 20:00:00+00:00,51.480499,-0.05955
2023-11-19 20:00:00,Thurrock,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 20:00:00+00:00,51.47707,0.317969
2023-11-19 19:00:00,Thurrock,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 19:00:00+00:00,51.47707,0.317969
2023-11-19 19:00:00,Southend-on-Sea,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 19:00:00+00:00,51.544206,0.678408
2023-11-19 19:00:00,London N. Kensington,pm25,8.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 19:00:00+00:00,51.52105,-0.21349199999999996
2023-11-19 19:00:00,London Hillingdon,pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 19:00:00+00:00,51.49633,-0.460861
2023-11-19 19:00:00,Southwark A2 Old Kent Road,pm25,5.3,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 19:00:00+00:00,51.480499,-0.05955
2023-11-19 19:00:00,Camden Kerbside,pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 19:00:00+00:00,51.54421,-0.175269
2023-11-19 19:00:00,London Westminster,pm25,7.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 19:00:00+00:00,51.49467,-0.131931
2023-11-19 19:00:00,London Marylebone Road,pm25,11.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 19:00:00+00:00,51.52253,-0.154611
2023-11-19 19:00:00,London Bloomsbury,pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 19:00:00+00:00,51.52229,-0.125889
2023-11-19 19:00:00,London Harlington,pm25,7.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 19:00:00+00:00,51.48879,-0.441614
2023-11-19 18:00:00,London Bloomsbury,pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 18:00:00+00:00,51.52229,-0.125889
2023-11-19 18:00:00,London N. Kensington,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 18:00:00+00:00,51.52105,-0.21349199999999996
2023-11-19 18:00:00,London Westminster,pm25,7.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 18:00:00+00:00,51.49467,-0.131931
2023-11-19 18:00:00,Camden Kerbside,pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 18:00:00+00:00,51.54421,-0.175269
2023-11-19 18:00:00,London Hillingdon,pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 18:00:00+00:00,51.49633,-0.460861
2023-11-19 18:00:00,Southwark A2 Old Kent Road,pm25,4.1,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 18:00:00+00:00,51.480499,-0.05955
2023-11-19 18:00:00,London Marylebone Road,pm25,12.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 18:00:00+00:00,51.52253,-0.154611
2023-11-19 18:00:00,Thurrock,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 18:00:00+00:00,51.47707,0.317969
2023-11-19 18:00:00,Southend-on-Sea,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 18:00:00+00:00,51.544206,0.678408
2023-11-19 17:00:00,Southend-on-Sea,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 17:00:00+00:00,51.544206,0.678408
2023-11-19 17:00:00,Southwark A2 Old Kent Road,pm25,3.1,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 17:00:00+00:00,51.480499,-0.05955
2023-11-19 17:00:00,Camden Kerbside,pm25,11.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 17:00:00+00:00,51.54421,-0.175269
2023-11-19 17:00:00,London Bloomsbury,pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 17:00:00+00:00,51.52229,-0.125889
2023-11-19 17:00:00,London Marylebone Road,pm25,11.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 17:00:00+00:00,51.52253,-0.154611
2023-11-19 17:00:00,London Hillingdon,pm25,10.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 17:00:00+00:00,51.49633,-0.460861
2023-11-19 17:00:00,London Westminster,pm25,7.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 17:00:00+00:00,51.49467,-0.131931
2023-11-19 17:00:00,London Harlington,pm25,8.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 17:00:00+00:00,51.48879,-0.441614
2023-11-19 17:00:00,London N. Kensington,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 17:00:00+00:00,51.52105,-0.21349199999999996
2023-11-19 17:00:00,Thurrock,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 17:00:00+00:00,51.47707,0.317969
2023-11-19 16:00:00,Thurrock,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 16:00:00+00:00,51.47707,0.317969
2023-11-19 16:00:00,Southend-on-Sea,pm25,9.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 16:00:00+00:00,51.544206,0.678408
2023-11-19 16:00:00,London Westminster,pm25,7.0,b'\xc2\xb5g/m\xc2\xb3',GB,,2023-11-19 16:00:00+00:00,51.49467,-0.131931
